pmid,paragraph,abstract,label,registry,trn
27379986,1,"Quantitative evaluation of tumor hypoxia based on H-1-(3-[18F]fluoro-2-hydroxypropyl)-2-nitroimidazole ([18F]FMISO) positron emission tomography (PET) can deliver important information for treatment planning in radiotherapy. However, the merits and limitations of different analysis methods in revealing the underlying physiological feature are not clear. This study aimed to assess these quantitative analysis methods with the support of immunohistological data.",PURPOSE,NA,NA
27379986,2,"Sixteen nude mice bearing xenografted human squamous cell carcinomas (FaDu or CAL-33) were scanned using 2-h dynamic [18F]FMISO PET. Tumors were resected and sliced, and the hypoxia marker pimonidazole was immunostained followed by H&E staining. The pimonidazole signal was segmented using a k-means clustering algorithm, and the hypoxic fraction (HF) was calculated as the hypoxic area/viable tumor-tissue-area ratio pooled over three tissue slices from the apical, center, and basal layers. PET images were analyzed using various methods including static analysis [standard uptake value (SUV), tumor-to-blood ratio (T/B), tumor-to-muscle ratio (T/M)] and kinetic modeling (Casciari αk A , irreversible and reversible two-tissue compartment k 3, Thorwarth w A k 3, Patlak K i , Logan V d , Cho K), and correlated with HF.",PROCEDURES,NA,NA
27379986,3,"No significant correlation was found for static analysis. A significant correlation between k 3 of the irreversible two-tissue compartment model and HF was observed (r = 0.61, p = 0.01). The correlation between HF and αk A of the Casciari model could be improved through reducing local minima by testing more sets of initial values (r = 0.59, p = 0.02) or by reducing the model complexity by fixing three parameters (r = 0.63, p = 0.0008).",RESULTS,NA,NA
27379986,4,"With support of immunohistochemistry data, this study shows that various analysis methods for [18F]FMISO PET perform differently for assessment of tumor hypoxia. A better fitting quality does not necessarily mean a higher physiological correlation. Hypoxia PET analysis needs to consider both the mathematical stability and physiological fidelity. Based on the results of this study, preference should be given to the irreversible two-tissue compartment model as well as the Casciari model with reduced parameters.",CONCLUSIONS,NA,NA
27722750,1,"Metastatic colorectal cancer (mCRC) is heterogeneous, and primary tumors arising from different regions of the colon are clinically and molecularly distinct.",Importance,NA,NA
27722750,2,"To examine the prognostic and predictive value of primary tumor location in patients with RAS wild-type (wt) mCRC treated with first-line fluorouracil, leucovorin, and irinotecan (FOLFIRI) plus cetuximab in the Cetuximab Combined With Irinotecan in First-line Therapy for Metastatic Colorectal Cancer (CRYSTAL) trial and FOLFIRI Plus Cetuximab Versus FOLFIRI Plus Bevacizumab as First-Line Treatment For Patients With Metastatic Colorectal Cancer (FIRE-3) trial.",Objective,NA,NA
27722750,3,"In this retrospective analysis patients with RAS wt metastatic colorectal cancer from the CRYSTAL and FIRE-3 trials were classified as having left-sided or right-sided mCRC, defined, respectively, as patients whose tumors originated in the splenic flexure, descending colon, sigmoid colon, or rectum vs appendix, cecum, ascending colon, hepatic flexure, or transverse colon.","Design, Setting, and Participants",NA,NA
27722750,4,"Progression-free survival (PFS), overall survival (OS), and objective response rate (ORR) were assessed according to tumor location and treatment arm.",Main Outcomes and Measures,NA,NA
27722750,5,"In the RAS wt populations of the CRYSTAL and FIRE-3 trials, patients with left-sided tumors (n = 142 and n = 157, respectively) had markedly superior PFS, OS, and ORR compared with patients with right-sided tumors (n = 33 and n = 38, respectively). Among CRYSTAL and FIRE-3 study patients with RAS wt left-sided tumors, FOLFIRI plus cetuximab significantly improved OS relative to the respective comparators (FOLFIRI and FOLFIRI plus bevacizumab); in contrast, in RAS wt patients with poor-prognosis right-sided tumors, limited efficacy benefits were observed upon the addition of cetuximab to FOLFIRI in CRYSTAL, and comparable outcomes were observed between the FOLFIRI plus cetuximab and FOLFIRI plus bevacizumab arms of FIRE-3. A significant interaction was observed between primary tumor location and treatment for OS (CRYSTAL: hazard ratio [HR], 1.95; 95% CI, 1.09-3.48 and FIRE-3: HR, 0.40; 95% CI, 0.23-0.70) within the RAS wt populations of both studies in multivariable models that also included sex, prior adjuvant therapy, and BRAF mutational status.",Results,NA,NA
27722750,6,"In the RAS wt populations of CRYSTAL and FIRE-3, patients with left-sided tumors had a markedly better prognosis than those with right-sided tumors. First-line FOLFIRI plus cetuximab clearly benefitted patients with left-sided tumors (vs FOLFIRI or FOLFIRI plus bevacizumab, respectively), whereas patients with right-sided tumors derived limited benefit from standard treatments.",Conclusions and Relevance,NA,NA
