pmid,registry,trn_detected,n_detected,source,doi
27722750,ClinicalTrials.gov,NCT00154102,1,secondary_id,10.1001/jamaoncol.2016.3797
27722750,ClinicalTrials.gov,NCT00433927,2,secondary_id,10.1001/jamaoncol.2016.3797
28258747,ClinicalTrials.gov,NCT01321840,1,secondary_id,10.1016/j.biopsych.2017.01.006
29670618,NTR,NTR3087,1,secondary_id,10.3389/fimmu.2018.00629
29913001,ClinicalTrials.gov,NCT02438982,1,secondary_id,10.1001/jamapediatrics.2018.1323
29913001,CTRI,CTRI/2014/01/004355,2,secondary_id,10.1001/jamapediatrics.2018.1323
30371791,EudraCT,2014-004561-24,1,secondary_id,10.1210/jc.2018-01364
30922146,ClinicalTrials.gov,NCT02988115,1,secondary_id,10.1161/jaha.118.011662
30979860,ClinicalTrials.gov,NCT01970735,1,secondary_id,10.1212/wnl.0000000000007456
31023150,DRKS,DRKS00011753,1,secondary_id,10.1177/0269216319843629
31058782,ClinicalTrials.gov,NCT02536560,1,secondary_id,10.1097/mpg.0000000000002360
31422119,NTR,NTR6650,1,secondary_id,10.1016/j.jcmg.2019.06.022
31783832,ClinicalTrials.gov,NCT01291693,1,secondary_id,10.1186/s12889-019-7931-6
31998285,ClinicalTrials.gov,NCT02536560,1,secondary_id,10.3389/fimmu.2019.02939
33154570,ClinicalTrials.gov,NCT00433927,1,secondary_id,10.1038/s41416-020-01140-9
